Link	Condition	Seller Notes	Brand	Model	Storage Capacity	Network	Camera Resolution	Screen Size	Lock Status	RAM	Contract	Operating System	Model Number	Style	MPN	Connectivity	Features	Manufacturer Color	SIM Card Slot	Memory Card Type	Processor	Cellular Band	Network Technology	Custom Bundle	Note	Country/Region of Manufacture	Notice	Attention	CPU	UPC	Manufacturer Warranty	Packing List	Color	Warehouse Location	Capacity of battery	SKU	Family Line	Carrier	Storage Extend	Bundle Listing	Bundled Items	Chipset Model	Compatibility	Applicable Regions	Notice 3	Package	Storage capacity	Screen size	Camera resolution	Operating system	Lock status	Sim card slot	Ram	Memory card type	EAN	Not Compatible	Compatible Operating System	WIFI	Positioning	Battery	ROM	Fast Charging	GPU	NFC	Aspect Ratio	Type	Resolution	Capacity of Battery	Free Accessories	Local Warehouse	Unit Type	Release Date	Battery Health/Capacity	Compatible With	Number of Charging Ports	Bundle Description	Includes The Following Cables	Output Amperage	Non-Domestic Product	Compatible Brand	Front Camera	Screen Type	Screen Resolution	Charger	Battery Capacity	Batteries	Item Weight	USB	Camera Features	Sensors	Video	Dimensions	Display Technology	Protection	Front Camera Feature	WLAN	Bluetooth	Loudspeaker	3.5mm jack	Charging	Front Video	Battery Capacity(mAh)	Biometrics Technology	Display Resolution	Rear Camera Quantity	Display Proportions	3.5mm Headphone Port	Touch Screen Type	Modified Item	Country/Region of Origin	Warranty	Music Play	Back Video	Talk Time	Audio Quality	Video recording(Back camera)	Seller Warranty	Sim Card Size	Front camera	Storage Type	RAM Type	Thermometer	Battery Capacity Range	CPU Model	Bluetooth Version	Charging Interface Type	MTK Model	RAM and Storage	Year	ISBN	Colour	Display Size	SIM Card Quantity	Comes in a kit box with	Free Bundled Items	SIM Card Type	Screen Material	Touch ID	Quick Charge	Display  Size	Size	Charger interface	External Storage	Weight (including battery)	Rear camera	Front Camera Video	Network Standard	4G/LTE	Cosmetic Condition	Functionality Condition	Data Sanitation Status	Audio quality	Support Network Carriers	For Free	LG UNLOCKED DEVICES	Included Accessories	Cosmetic condition	Charger and cable	Water, Dust,and Shock	Packaging	Not Compatible With	Phone Variant	N1-SKU	Stand-by	Battery Type	Carrier Supporting	SIM-Karten-Slot	Besonderheiten	Earphone Port	Card Extend	OK Google on Locked Screen	Certification	Cellular and wireless	Material	Betriebssystem	Sperrstatus	Battery Standby Time	Music play	Weight	Gigabyte Size	Model Identifiers	Back Camera Video	Memory	Chip	Rear Camera	Interface	Li-Polymer	WiFi	Sim card type	Earphone Jack	Unit Quantity	Bluetooth:	Our Battery Health % Rule	Whats in the Box	Android Version	Internet Connectivity	Series	RAM Size	Maximum Resolution	Display Type	Processor Model	Battery Run Time	BRAND	Model number	Manufacture Color	Cellular Network Technology	Free Gift	Processor Type	Night Vision camera	BDS	Housing Material	Height	Width	Thickness	Memory for SD Card	Front Camera(Pixel)	Back Camera(Pixel)	Proximity Sensor	Speaker	Feature	Hard Drive Capacity	Storage Extension	Battery Talk Time	SIM Card	Wireless Charge	Touch	PPI	Screen-to-body ratio	GPS	OTG	Net Weight	Body Material	Color::	Extra Features	Original Battery Capacity	Dimension	Manufacturer	No accessories	4G LTE	Cellular Band 4G	CARRIERS :	Size Type	Flash led	Qualcomm Model	Refresh Rate	Industrial Mode accuracy	Night Vision	IR Sensor Resolution	Storage extension	Charging Power	Temperature Range	Field of View	Capacity	Front camera video features	Networks Supported	Navigation	Color:	Storage capacity:	Talking Battery Life	Original box	Item condition	What is not included	Sim card	What is included	#1# suggestions found. Use up and down	VoLTE Supported	Manufacturer Part Number	Unlock Status	Manufacturer Colour	Display	Model:	USB Interface	Location technology	MHL	Battery capacity (mAh, Typical)	4G TDD LTE	5G TDD Sub6	Main Resolution	Sub Display Size	Color depth	CPU Type	S pen Support	SIM Slot Type	USB Version	Bluetooth version	2G GSM	3G UMTS	4G FDD LTE	Main Display Size	Main maximum scan rate	Sub Resolution	CPU speed	SIM	Manufactured Color	Torch	3G WCDMA	4G LTE-FDD	VoLTE	Touch Panel	BT	OS	Wifi	SD card	Exact Model	CPU Core Quantity	4G TDD-LTE	Screen Burn Severity	USB cable	Microphone	Battery capacity	Battery type	USB Charger	Front Camera Pixel	Max. Expansion Supported	FM	Chipset	Camera	AirBuda U	Network Status	Platform	Frequency band	Dual SIM card	Memory size	Compatible Model	FM Radio	Available Colors	Latest features	Marke	Sensor	The Internet	USB Port	Internal Storage	Kit Style	物品状况	Screen Refresh Rate	Carriers not work with	code	Important Information	Sealed	Warranty - Parts	Items Included	Design/Finish	Languages	Manufacture Year	Night vision Camera	Screen protection	Certified	Navigation & Positioning	Sensors 1	Fast Wireless Charging	Rear Camera Pixel	Colors
https://www.ebay.com/itm/362643928499?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes ...Read moreabout the seller notes“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”Read Lessabout the seller notes	Samsung	Galaxy	128GB		12.0 MP	6.4 in	Factory Unlocked	6 GB	Without Contract	Android	SM-N960		SM-N960UZSAXAA, SM-N960UZPAXAA, SM-N960UZBAXAA	4G, Bluetooth, GPS, LTE	4K Video Recording, AMOLED Display	Black, Silver, Purple, Blue	Single SIM	MicroSD	Octa Core																																																																																																																																																																																																																																																																																																																																											
https://www.ebay.com/itm/254343826760?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This Apple iPhone XS 64GB Factory Unlocked 4G LTE iOS Smartphone has been determined fully ...Read moreabout the seller notes“This Apple iPhone XS 64GB Factory Unlocked 4G LTE iOS Smartphone has been determined fully functional by our industry leading functionality inspection. It will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. It will NOT come in its original packaging but will include an MFI certified lightning cable and UL approved power adapter. Headsets, SIM card and manual are NOT included. This Apple iPhone XS 64GB Factory Unlocked 4G LTE iOS Smartphone is fully functional with all carrier networks. It does not come with a SIM card, you will need to get one from your carrier of choice.”Read Lessabout the seller notes	Apple	iPhone XS	64GB	Factory Unlocked	12MP	"5.8"""	Network Unlocked	4GB	Without Contract	iOS	A1920	Smartphone	MT942LL/A																																																																																																																																																																																																																																																																																																																																																	
https://www.ebay.com/itm/383240884447?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes ...Read moreabout the seller notes“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”Read Lessabout the seller notes	Apple	iPhone XR	64GB		12.0 MP	6.1 in	Factory Unlocked	3 GB	Without Contract	iOS	A1984 (CDMA + GSM)	Smartphone	MRYR2LL/A, MRYX2LL/A, MRYW2LL/A, MRYV2LL/A, MRYU2LL/A, MRYT2LL/A	2G, 3G, 4G, Bluetooth, GPS, LTE	4G Data Capable, 4K Video Recording, Camera, Email, Web, Facial Recognition, Front Camera, GPS, Slow Motion Video Recording, Speakerphone, Touch Screen, Wi-Fi Capable	White, Black, Blue, Yellow, Coral, Red	Single SIM	NA	Hexa Core		LTE																																																																																																																																																																																																																																																																																																																																									
https://www.ebay.com/itm/403272229686?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes ...Read moreabout the seller notes“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”Read Lessabout the seller notes	Samsung	Galaxy S10+ Plus	128GB		12.0 MP	6.4 in	Factory Unlocked	8 GB	Without Contract	Android	SM-G975		SMG975UZIA, SMG975UZBA, SMG975UZKA, SMG975UZWA	4G, Bluetooth, GPS, LTE, Wi-Fi	4K Video Recording, AMOLED Display, ANT+	White, Black, Blue, Pink	Single SIM	MicroSD	Octa Core																																																																																																																																																																																																																																																																																																																																											
https://www.ebay.com/itm/284035968027?nordt=true&orig_cvip=true&rt=nc	Good - Refurbished	“This item is in Good Condition and will show moderate signs of use (Scratching/Scuffing) on housing ...Read moreabout the seller notes“This item is in Good Condition and will show moderate signs of use (Scratching/Scuffing) on housing and screen. Fully Functional  GSM Unlocked– Comes with generic box charging usb and adapter.”Read Lessabout the seller notes	Samsung	Samsung Galaxy S9	64 GB	Unlocked		5.8	Network Unlocked	4GB		Android	G960U	Bar				Black, Coral, Lilac		MicroSD																																																																																																																																																																																																																																																																																																																																												
https://www.ebay.com/itm/254497147383?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This Galaxy S10 Plus is in Very Good condition and has been determined fully functional by our ...Read moreabout the seller notes“This Galaxy S10 Plus is in Very Good condition and has been determined fully functional by our industry leading functionality inspection. It will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. This item does NOT come in its original packaging but will include a generic UL certified cable.”Read Lessabout the seller notes	Samsung Electronics	Galaxy S10 Plus	128GB	Factory Unlocked	12MP	"6.4"""	Network Unlocked	8GB	Without Contract	Android	SM-G975U	Smartphone																																																																																																																																																																																																																																																																																																																																																		
https://www.ebay.com/itm/402561477570?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes ...Read moreabout the seller notes“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”Read Lessabout the seller notes	Apple	Apple iPhone 11 Pro Max	64 GB	Unlocked	12.0 MP	6.5 in	Factory Unlocked	4 GB	Without Contract	iOS	A2161 (CDMA + GSM)		MWH02LL/A, MWH12LL/A, MWGY2LL/A, MWH22LL/A	4G, Bluetooth, GPS	Face ID, Three-axis gyro, 4K Video Recording, Accelerometer, Ambient Light Sensor, AMOLED Display, Barometer, Proximity Sensor	Gold, Silver, Space Gray, Midnight Green	Single SIM	Not Applicable	Hexa Core																																																																																																																																																																																																																																																																																																																																											
https://www.ebay.com/itm/254726029927?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This iPhone 11 is in Very Good condition and has been determined fully functional by our industry ...Read moreabout the seller notes“This iPhone 11 is in Very Good condition and has been determined fully functional by our industry leading functionality inspection. It will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. This item does NOT come in its original packaging but will include a generic UL certified cable.”Read Lessabout the seller notes	Apple	iPhone 11	128GB	Factory Unlocked	12MP	"6.1"""	Network Unlocked	4GB	Without Contract	iOS	A2111	Smartphone	MWLE2LL/A																																																																																																																																																																																																																																																																																																																																																	
https://www.ebay.com/itm/193380000263?nordt=true&orig_cvip=true&rt=nc	Used	“Overall good working condition and will have minor marks and scratches - Charger included”	Apple	iPhone 7	32GB		12.0MP	"4.7"""	Factory Unlocked	3 GB	Without Contract	iOS - Apple	A1778	Bar	MN9Y2LL/A, MN9L2LL/A, MN9K2LL/A, MN9M2LL/A	4G, LTE, Wi-Fi	Internet Browser, Touchscreen, 4G Data Capable, Bluetooth Enabled, GPS, Music Player, Speakerphone	Gold, Rose Gold, Silver, Black, Jet Black	Single SIM	CompactFlash	Quad+Quad Core			No	4G SIM Card Required - NOT included																																																																																																																																																																																																																																																																																																																																							
https://www.ebay.com/itm/224743929590?nordt=true&orig_cvip=true&rt=nc	Good - Refurbished	“1 year warranty included. Bootloader can NOT be unlocked. This device has been cleaned and ...Read moreabout the seller notes“1 year warranty included. Bootloader can NOT be unlocked. This device has been cleaned and inspected. It is tested and fully functional. Will show signs of use such as scratches/scuffs. They can be covered with a case and screen protector. Unlocked to work with any sim card worldwide. It comes repacked with a charger and a USB cable.”Read Lessabout the seller notes	Google	Google Pixel 5	128 GB	Unlocked	16.0 MP	6 in	Factory Unlocked	8 GB	Without Contract	Android	GD1YQ		GA01986-US, GA01955-US	5G	Accelerometer		Single SIM	None	Octa Core																																																																																																																																																																																																																																																																																																																																											
